student-name,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10
Student 1,13,8,360,175,3821,11,73,175,13,175
Student 2,15,8,390,190,3850,8.5,70,190,15,190
Student 3,17,8,304,150,3672,11.5,72,150,17,150
Student 4,20.2,6,232,90,3265,18.2,79,90,20.2,90
Student 5,18.1,6,258,120,3410,15.1,78,120,18.1,120
Student 6,23,4,151,,3035,20.5,82,,23,
Student 7,19.4,6,232,90,3210,17.2,78,90,19.4,90
Student 8,24.3,4,151,90,3003,20.1,80,90,24.3,90
Student 9,18,6,232,100,2789,15,73,100,18,100
Student 10,19,6,232,100,2634,13,71,100,19,100
Student 11,20,6,232,100,2914,16,75,100,20,100
Student 12,21,6,199,90,2648,15,70,90,21,90
Student 13,18,6,258,110,2962,13.5,71,110,18,110
Student 14,18,6,199,97,2774,15.5,70,97,18,97
Student 15,18,6,232,100,2945,16,73,100,18,100
Student 16,19,6,232,100,2901,16,74,100,19,100
Student 17,22.5,6,232,90,3085,17.6,76,90,22.5,90
Student 18,14,8,304,150,4257,15.5,74,150,14,150
Student 19,15,8,304,150,3892,12.5,72,150,15,150
Student 20,14,8,304,150,3672,11.5,73,150,14,150
Student 21,15,6,258,110,3730,19,75,110,15,110
Student 22,15.5,8,304,120,3962,13.9,76,120,15.5,120
Student 23,16,6,258,110,3632,18,74,110,16,110
Student 24,18,6,232,100,3288,15.5,71,100,18,100
Student 25,17.5,6,258,95,3193,17.8,76,95,17.5,95
Student 26,19,6,232,90,3211,17,75,90,19,90
Student 27,,8,360,175,3850,11,70,175,,175
Student 28,16,8,304,150,3433,12,70,150,16,150
Student 29,27.4,4,121,80,2670,15,79,80,27.4,80
Student 30,20,4,114,91,2582,14,73,91,20,91
Student 31,23,4,115,95,2694,15,75,95,23,95
Student 32,24,4,107,90,2430,14.5,70,90,24,90
Student 33,34.3,4,97,78,2188,15.8,80,78,34.3,78
Student 34,20.3,5,131,103,2830,15.9,78,103,20.3,103
Student 35,36.4,5,121,67,2950,19.9,80,67,36.4,67
Student 36,29,4,98,83,2219,16.5,74,83,29,83
Student 37,26,4,121,113,2234,12.5,70,113,26,113
Student 38,21.5,4,121,110,2600,12.8,77,110,21.5,110
Student 39,13,8,350,175,4100,13,73,175,13,175
Student 40,25,6,181,110,2945,16.4,82,110,25,110
Student 41,13,8,350,150,4699,14.5,74,150,13,150
Student 42,20.6,6,231,105,3380,15.8,78,105,20.6,105
Student 43,17,6,231,110,3907,21,75,110,17,110
Student 44,22.4,6,231,110,3415,15.8,81,110,22.4,110
Student 45,12,8,455,225,4951,11,73,225,12,225
Student 46,14,8,455,225,3086,10,70,225,14,225
Student 47,16.9,8,350,155,4360,14.9,79,155,16.9,155
Student 48,13,8,350,155,4502,13.5,72,155,13,155
Student 49,30,4,111,80,2155,14.8,77,80,30,80
Student 50,17.7,6,231,165,3445,13.4,78,165,17.7,165
Student 51,21,6,231,110,3039,15,75,110,21,110
Student 52,15,8,350,165,3693,11.5,70,165,15,165
Student 53,28.4,4,151,90,2670,16,79,90,28.4,90
Student 54,20.5,6,231,105,3425,16.9,77,105,20.5,105
Student 55,26.6,4,151,84,2635,16.4,81,84,26.6,84
Student 56,23,8,350,125,3900,17.4,79,125,23,125
Student 57,16.5,8,350,180,4380,12.1,76,180,16.5,180
Student 58,16,6,250,105,3897,18.5,75,105,16,105
Student 59,15,8,350,145,4440,14,75,145,15,145
Student 60,27,4,151,90,2950,17.3,82,90,27,90
Student 61,13,8,400,150,4464,12,73,150,13,150
Student 62,17,8,305,130,3840,15.4,79,130,17,130
Student 63,17.5,8,305,145,3880,12.5,77,145,17.5,145
Student 64,34,4,112,88,2395,18,82,88,34,88
Student 65,27,4,112,88,2640,18.6,82,88,27,88
Student 66,28,4,112,88,2605,19.6,82,88,28,88
Student 67,,8,350,165,4142,11.5,70,165,,165
Student 68,13,8,307,130,4098,14,72,130,13,130
Student 69,16,6,250,100,3781,17,74,100,16,100
Student 70,17.5,8,305,140,4215,13,76,140,17.5,140
Student 71,17,6,250,100,3329,15.5,71,100,17,100
Student 72,18,8,307,130,3504,12,70,130,18,130
Student 73,29,4,85,52,2035,22.2,76,52,29,52
Student 74,30,4,98,68,2155,16.5,78,68,30,68
Student 75,30.5,4,98,63,2051,17,77,63,30.5,63
Student 76,32.1,4,98,70,2120,15.5,80,70,32.1,70
Student 77,23.5,6,173,110,2725,12.6,81,110,23.5,110
Student 78,28,4,151,90,2678,16.5,80,90,28,90
Student 79,28.8,6,173,115,2595,11.3,79,115,28.8,115
Student 80,17.5,6,250,110,3520,16.4,77,110,17.5,110
Student 81,11,8,400,150,4997,14,73,150,11,150
Student 82,13,8,350,165,4274,12,72,165,13,165
Student 83,14,8,350,165,4209,12,71,165,14,165
Student 84,14,8,454,220,4354,9,70,220,14,220
Student 85,19.2,8,267,125,3605,15,79,125,19.2,125
Student 86,13,8,350,145,3988,13,73,145,13,145
Student 87,20.5,6,200,95,3155,18.2,78,95,20.5,95
Student 88,15.5,8,350,170,4165,11.4,77,170,15.5,170
Student 89,19.2,8,305,145,3425,13.2,78,145,19.2,145
Student 90,15,8,350,145,4082,13,73,145,15,145
Student 91,15,8,400,150,3761,9.5,70,150,15,150
Student 92,20,8,262,110,3221,13.5,75,110,20,110
Student 93,16,6,250,100,3278,18,73,100,16,100
Student 94,15,6,250,100,3336,17,74,100,15,100
Student 95,18,6,250,105,3459,16,75,105,18,105
Student 96,22,6,250,105,3353,14.5,76,105,22,105
Student 97,22,4,140,72,2408,19,71,72,22,72
Student 98,28,4,140,90,2264,15.5,71,90,28,90
Student 99,30.7,6,145,76,3160,19.6,81,76,30.7,76
